red,green,blue,label
35,16,17,red
200,154,244,purple
36,27,20,orange
189,165,233,purple
152,133,173,purple
145,202,158,green
69,50,83,purple
195,190,152,yellow
177,115,247,purple
244,179,188,red
133,87,94,red
200,14,39,red
248,195,201,red
188,190,80,yellow
225,210,255,purple
3,21,78,blue
228,242,222,green
229,199,254,purple
184,247,250,blue
230,101,110,red
87,61,63,red
5,0,96,blue
75,72,2,yellow
28,13,15,red
194,66,115,pink
93,26,132,purple
128,224,158,green
138,124,56,yellow
54,44,68,purple
1,193,91,green
70,38,74,pink
150,160,192,blue
219,209,149,yellow
196,59,70,red
235,168,170,red
244,219,159,orange
215,178,179,red
240,175,132,orange
161,198,221,blue
180,182,99,yellow
58,38,59,pink
227,104,110,red
169,229,179,green
126,188,190,blue
72,5,11,red
190,106,176,pink
30,12,64,purple
61,11,40,pink
193,129,234,purple
211,227,196,green
233,68,181,pink
83,136,129,blue
164,171,188,blue
105,230,55,green
239,67,84,red
50,119,52,green
227,237,237,blue
235,200,173,orange
211,183,161,orange
196,69,186,pink
20,96,0,green
194,132,245,purple
181,178,205,blue
225,228,244,blue
203,182,174,orange
249,215,238,pink
182,144,114,orange
4,31,164,blue
62,90,229,blue
6,173,203,blue
37,31,91,blue
228,137,63,orange
203,227,231,blue
241,208,219,pink
90,61,22,orange
239,246,131,yellow
103,218,115,green
76,11,137,purple
229,93,115,red
134,2,222,purple
72,66,15,yellow
249,251,218,yellow
221,166,170,red
44,125,160,blue
87,162,161,blue
129,26,203,purple
173,123,157,pink
51,19,103,purple
3,109,44,green
99,74,100,pink
104,39,47,red
160,120,206,purple
191,140,242,purple
182,102,37,orange
20,12,29,purple
242,230,207,orange
183,232,145,green
146,102,79,orange
213,204,225,purple
212,241,252,blue
227,223,231,purple
125,18,32,red
231,187,194,red
18,13,69,blue
221,8,22,red
97,99,23,yellow
63,53,29,orange
80,38,42,red
49,67,109,blue
230,207,198,orange
143,114,177,purple
217,140,89,orange
191,141,3,orange
40,92,90,blue
33,30,77,blue
134,40,54,red
201,198,156,yellow
108,20,23,red
219,186,164,orange
228,195,199,red
73,129,54,green
204,15,47,red
56,148,90,green
156,181,186,blue
139,136,70,yellow
152,213,109,green
206,177,181,red
221,240,204,green
32,57,64,blue
34,43,18,green
62,58,20,yellow
114,4,231,purple
105,90,124,purple
225,226,151,yellow
127,160,64,green
233,165,219,pink
114,91,34,orange
75,27,147,purple
124,78,29,orange
31,3,53,purple
236,235,156,yellow
168,91,230,purple
238,79,177,pink
37,19,21,red
140,159,177,blue
178,139,123,orange
101,41,49,red
206,149,80,orange
244,192,62,orange
72,234,99,green
212,203,191,orange
233,237,155,yellow
236,182,235,pink
27,81,131,blue
47,49,17,yellow
165,213,129,green
62,28,4,orange
205,156,71,orange
133,168,167,blue
169,154,193,purple
252,207,227,pink
187,93,98,red
222,217,115,yellow
160,37,254,purple
161,221,247,blue
129,107,158,purple
201,164,151,orange
194,219,200,green
17,45,106,blue
215,208,101,yellow
153,138,61,yellow
244,6,42,red
145,75,128,pink
186,191,49,yellow
204,221,230,blue
135,15,215,purple
6,50,17,green
28,151,95,green
102,175,80,green
88,84,29,yellow
41,25,35,pink
248,155,211,pink
236,70,81,red
232,209,250,purple
148,190,204,blue
157,249,83,green
31,3,63,purple
108,92,75,orange
184,160,202,purple
126,76,27,orange
98,86,19,yellow
69,57,43,orange
201,238,204,green
78,55,24,orange
208,118,133,red
79,28,62,pink
246,177,207,pink
34,25,17,orange
195,29,98,pink
65,48,59,pink
76,6,9,red
235,225,25,yellow
206,151,157,red
210,50,71,red
164,144,14,yellow
202,119,125,red
165,166,217,blue
220,201,243,purple
213,233,175,green
9,139,200,blue
177,16,110,pink
230,61,219,pink
114,241,75,green
99,64,90,pink
204,205,239,blue
175,121,90,orange
165,151,3,yellow
138,133,239,blue
143,129,102,orange
250,51,84,red
176,28,35,red
2,49,8,green
242,222,181,orange
71,78,55,green
176,130,133,red
174,173,204,blue
113,113,51,yellow
253,237,23,yellow
131,42,47,red
54,206,252,blue
46,35,31,orange
243,211,215,red
237,169,74,orange
216,242,161,green
221,208,187,orange
214,132,31,orange
227,196,248,purple
54,2,20,pink
87,86,51,yellow
116,52,86,pink
67,52,81,purple
73,18,66,pink
31,23,14,orange
41,10,13,red
146,186,191,blue
109,95,80,orange
248,95,13,orange
14,42,26,green
28,11,213,blue
109,166,208,blue
47,46,19,yellow
243,222,119,yellow
242,202,204,red
190,162,166,red
172,22,45,red
144,166,84,green
157,63,75,red
89,157,72,green
167,211,171,green
252,148,110,orange
81,60,52,orange
163,159,62,yellow
150,23,68,pink
47,127,80,green
107,106,61,yellow
234,227,209,orange
227,196,165,orange
159,40,58,red
33,31,18,yellow
147,108,183,purple
241,4,43,red
42,41,9,yellow
196,178,210,purple
57,4,48,pink
26,54,13,green
119,89,75,orange
204,122,92,orange
125,1,249,purple
64,35,108,purple
222,171,179,red
17,179,182,blue
69,9,103,purple
17,13,104,blue
33,115,192,blue
139,229,167,green
175,222,228,blue
81,31,59,pink
176,141,146,red
48,35,72,purple
42,14,57,purple
166,130,134,red
226,44,135,pink
153,104,72,orange
173,103,239,purple
230,217,253,purple
238,219,73,yellow
8,253,28,green
139,244,240,blue
82,75,35,yellow
54,33,74,purple
152,140,11,yellow
71,47,86,purple
101,116,73,green
109,49,88,pink
76,18,109,purple
63,112,238,blue
239,231,234,pink
66,66,5,yellow
25,133,93,green
184,165,132,orange
245,178,225,pink
95,114,79,green
27,27,45,blue
214,189,190,red
19,22,42,blue
