red,green,blue,label
144,189,61,green
138,202,88,green
163,161,25,yellow
61,101,108,blue
28,70,27,green
177,134,168,pink
247,145,244,pink
30,21,21,red
47,17,95,purple
28,59,45,green
37,67,35,green
247,74,143,pink
217,212,227,purple
64,94,80,green
105,42,213,purple
138,251,40,green
217,183,115,orange
138,124,21,yellow
150,130,110,orange
145,13,24,red
245,224,214,orange
183,185,157,yellow
240,238,224,yellow
65,62,37,yellow
152,97,120,pink
80,62,193,blue
240,235,209,yellow
158,110,16,orange
225,214,220,pink
98,34,82,pink
47,29,39,pink
249,169,178,red
232,239,21,yellow
11,87,168,blue
11,52,142,blue
231,213,203,orange
83,154,50,green
232,75,23,orange
238,139,195,pink
51,2,100,purple
212,210,160,yellow
246,40,218,pink
70,68,37,yellow
145,48,94,pink
42,62,40,green
252,254,149,yellow
146,23,125,pink
239,230,236,pink
185,190,212,blue
153,220,9,green
243,245,184,yellow
67,37,15,orange
53,9,119,purple
29,11,55,purple
210,137,149,red
71,63,85,purple
209,208,235,blue
180,120,237,purple
162,93,125,pink
92,61,64,red
196,146,231,purple
50,9,83,purple
111,38,207,purple
65,56,48,orange
208,88,94,red
32,68,248,blue
238,186,43,orange
219,26,119,pink
169,4,136,pink
239,220,189,orange
2,86,242,blue
95,143,216,blue
45,6,8,red
199,178,196,pink
51,74,107,blue
240,166,137,orange
202,206,131,yellow
30,11,29,pink
120,18,140,pink
2,45,49,blue
233,165,169,red
37,29,43,purple
98,47,152,purple
199,180,168,orange
248,84,97,red
43,11,101,purple
221,206,233,purple
174,4,140,pink
72,91,67,green
20,83,87,blue
138,245,182,green
175,199,153,green
131,77,178,purple
1,249,117,green
250,231,87,yellow
118,167,27,green
210,162,164,red
166,63,134,pink
161,18,120,pink
63,4,119,purple
163,224,190,green
192,150,84,orange
98,34,99,pink
250,214,220,red
71,202,225,blue
36,20,21,red
222,208,192,orange
253,186,196,red
170,65,75,red
224,121,77,orange
243,226,201,orange
50,181,3,green
63,29,31,red
229,220,239,purple
25,22,121,blue
229,230,198,yellow
240,229,168,yellow
43,33,18,orange
121,123,91,yellow
178,184,66,yellow
199,122,132,red
97,79,196,blue
209,71,179,pink
81,16,18,red
115,25,163,purple
66,39,83,purple
237,29,205,pink
207,194,219,purple
46,36,66,purple
35,62,40,green
204,123,185,pink
50,36,61,purple
249,124,52,orange
51,199,189,blue
44,40,12,yellow
180,80,88,red
244,230,226,orange
142,47,55,red
17,141,24,green
193,139,148,red
227,114,49,orange
219,189,158,orange
224,194,239,purple
28,35,171,blue
190,71,25,orange
91,67,70,red
195,98,208,pink
17,57,5,green
51,36,36,red
72,65,51,orange
96,205,205,blue
34,7,60,purple
147,116,175,purple
119,46,168,purple
19,1,56,purple
78,61,54,orange
210,128,219,pink
203,233,235,blue
177,72,111,pink
254,109,128,red
92,27,177,purple
139,35,38,red
63,8,17,red
61,31,50,pink
167,57,76,red
166,188,138,green
92,100,245,blue
228,241,233,green
56,36,55,pink
176,135,142,red
47,36,9,orange
151,94,131,pink
103,88,70,orange
143,178,224,blue
201,247,227,green
80,58,71,pink
47,29,37,pink
199,153,155,red
117,113,173,blue
125,3,150,pink
180,188,207,blue
92,37,152,purple
20,177,250,blue
175,143,230,purple
232,149,104,orange
121,251,145,green
226,120,136,red
188,227,145,green
121,122,31,yellow
60,11,58,pink
108,40,84,pink
82,10,66,pink
128,10,21,red
222,104,116,red
191,115,128,red
40,138,40,green
192,132,12,orange
124,19,78,pink
224,246,213,green
152,130,16,yellow
243,130,145,red
225,243,206,green
76,118,184,blue
35,52,44,green
209,219,10,yellow
242,28,142,pink
250,219,242,pink
197,150,154,red
128,51,61,red
229,215,108,yellow
119,218,203,blue
113,3,130,pink
46,41,10,yellow
229,229,199,yellow
247,225,100,yellow
28,21,17,orange
159,247,64,green
145,156,202,blue
161,134,99,orange
252,187,190,red
181,151,216,purple
80,56,47,orange
254,223,170,orange
207,191,99,yellow
